"Trend Micro Apex One Security Agent","14.0.9120"
"ArcGIS 10.2.2 Engine","10.2.3552"
"ArcGIS 10.2.2 License Manager","10.2.3552"
"Foxit Reader","10.1.1.37576"
"Getac Utility 20.4.190325.54","20.4.190325.54"
"Getac(R) HID Filter 1.1.181009.9","1.1.181009.9"
"Microsoft Help Viewer 2.3","2.3.28107"
"Notepad++ (32-bit x86)","7.3.1"
"Npcap","0.9994"
"Network Time Protocol","4.2.4p6@vegas-v2-o-custom"
"NTP Time Server Monitor 1.04","0.9g"
"Samsung Printer Live Update","1.01.00:04(2013-04-22)"
"Infognition ScreenPressor v4.0 (Remove Only)",
"WinMerge 2.14.0","2.14.0"
"WinPcap 4.1.3","4.1.0.2980"
"Wireshark 3.2.5 64-bit","3.2.5"
"Microsoft SQL Server Management Studio - 18.6","15.0.18338.0"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005"
"Trend Micro Apex One Security Agent","14.0.9120"
"ArcGIS 10.2.2 Engine","10.2.3552"
"Intel(R) Trusted Connect Services Client","1.49.213.1"
"Microsoft SQL Server Data-Tier Application Framework (x86)","13.0.3225.4"
"ArcGIS 10.2.2 License Manager","10.2.3552"
"Microsoft Visual C++ 2017 Redistributable (x86) - 14.13.26020","14.13.26020.0"
"Browser for SQL Server 2019","15.0.2000.5"
"Intel? Integrated Sensor Solution","3.10.100.3527"
"Microsoft Analysis Services OLE DB Provider","15.0.2000.20"
"Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.26.28720","14.26.28720.3"
"Microsoft Visual C++ 2017 x86 Additional Runtime - 14.13.26020","14.13.26020"
"Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.13.26020","14.13.26020"
"Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support","15.0.27520"
"Microsoft VC++ redistributables repacked.","12.0.0.0"
"Visual Studio 2017 Isolated Shell for SSMS","15.0.28307.421"
"Microsoft Help Viewer 2.3","2.3.28107"
"Snoop","2.8.0"
"Intel(R) Trusted Connect Service Client x86","1.49.213.1"
"Integration Services","15.0.2000.118"
"Foxit PhantomPDF","9.0.1.1049"
"Intel(R) Chipset Device Software","10.1.17695.8086"
"PL2303 USB-to-Serial","1.19.2"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219"
"Intel(R) Processor Graphics","24.20.100.6345"
"Realtek High Definition Audio Driver","6.0.1.8339"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0"
"Microsoft Visual Studio Tools for Applications 2017","15.0.27520"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022","9.0.21022"
"Windows Driver Package - AlcorMicro (AKCCID) SmartCardReader  (07/13/2018 1.7.46.1308)","07/13/2018 1.7.46.1308"
"Windows Driver Package - Intel (e1cexpress) Net  (07/25/2016 12.15.31.4)","07/25/2016 12.15.31.4"
"Windows Driver Package - Intel (e1sexpress) Net  (08/04/2016 12.15.184.0)","08/04/2016 12.15.184.0"
"Windows Driver Package - Intel (e1dexpress) Net  (05/02/2018 12.17.10.7)","05/02/2018 12.17.10.7"
"Windows Driver Package - ASIX (AX88179) Net  (10/31/2018 1.20.5.100)","10/31/2018 1.20.5.100"
"Windows Driver Package - Intel (e1rexpress) Net  (10/10/2017 12.15.184.0)","10/10/2017 12.15.184.0"
"Windows Driver Package - Intel (v1q) Net  (08/02/2016 1.4.6.1)","08/02/2016 1.4.6.1"
"Microsoft SQL Server 2019 (64-bit)",
"Microsoft SQL Server 2019 (64-bit)",
"ScreenPressor x64 v4.0 (Remove Only)",
"Synaptics Pointing Device Driver","19.5.10.125"
"SQL Server Management Studio","15.0.18338.0"
"SQL Server 2019 Common Files","15.0.2000.5"
"SQL Server Management Studio for Analysis Services","15.0.18338.0"
"Microsoft SQL Server 2019 Setup (English)","15.0.4013.40"
"Intel(R) Management Engine Components","1824.12.0.1140"
"Intel(R) Management Engine Driver","1.0.0.0"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219"
"SQL Server 2019 XEvent","15.0.2000.5"
"SQL Server 2019 XEvent","15.0.2000.5"
"7-Zip 18.06 (x64 edition)","18.06.00.0"
"DisplayLink Graphics Driver","8.6.1294.0"
"SQL Server 2019 SQL Diagnostics","15.0.2000.5"
"Microsoft VSS Writer for SQL Server 2019","15.0.2000.5"
"Microsoft SQL Server 2019 T-SQL Language Service ","15.0.2000.5"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022","9.0.21022"
"Intel(R) Rapid Storage Technology","16.7.0.1009"
"Intel(R) Management Engine Components","1.0.0.0"
"Microsoft SQL Server 2019 RsFx Driver","15.0.2000.5"
"SQL Server 2019 Common Files","15.0.2000.5"
"ISS_Drivers_x64","3.10.100.3527"
"SQL Server 2019 Database Engine Shared","15.0.2000.5"
"SQL Server 2019 Shared Management Objects","15.0.2000.5"
"Intel(R) Chipset Device Software","10.1.17695.8086"
"SQL Server Management Studio","15.0.18338.0"
"SSMS Post Install Tasks","15.0.18338.0"
"Microsoft ODBC Driver 17 for SQL Server","17.4.0.1"
"SQL Server 2019 DMF","15.0.2000.5"
"Microsoft VC++ redistributables repacked.","12.0.0.0"
"SQL Server 2019 Shared Management Objects Extensions","15.0.2000.5"
"SQL Server 2019 Connection Info","15.0.2000.5"
"Intel(R) Management Engine Components","1.0.0.0"
"Microsoft OLE DB Driver for SQL Server","18.2.3.0"
"SQL Server Management Studio for Reporting Services","15.0.18338.0"
"Microsoft SQL Server 2012 Native Client ","11.4.7462.6"
"Intel(R) Management Engine Components","1.0.0.0"
"SQL Server 2019 Database Engine Services","15.0.2000.5"
"SQL Server 2019 Shared Management Objects","15.0.2000.5"
"Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support","15.0.27520"
"Microsoft Analysis Services OLE DB Provider","15.0.2000.20"
"SQL Server 2019 Shared Management Objects Extensions","15.0.2000.5"
"Intel(R) Trusted Connect Service Client x64","1.49.213.1"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.26.28720","14.26.28720"
"SQL Server 2019 Batch Parser","15.0.2000.5"
"Intel(R) Rapid Storage Technology","16.7.0.1009"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.26.28720","14.26.28720"
"SQL Server 2019 Database Engine Shared","15.0.2000.5"
"SQL Server 2019 Database Engine Services","15.0.2000.5"
"SQL Server 2019 DMF","15.0.2000.5"
"SQL Server 2019 Connection Info","15.0.2000.5"
