"DisplayName","DisplayVersion"
"Intel(R) HID Event Filter","2.2.1.377"
"ImgBurn","2.5.8.0"
"KeePass Password Safe 2.57","2.57"
"Microsoft Edge WebView2 Runtime","131.0.2903.112"
"Npcap","1.71"
"PyCharm Community Edition 2022.2.1","222.3739.56"
"Samsung Printer Live Update","1.01.00:04(2013-04-22)"
"VISA Shared Components 64-Bit","1.6"
"WinSCP 6.3.3","6.3.3"
"Wireshark 4.0.3 64-bit","4.0.3"
"Realtek USB Ethernet Controller All-In-One Windows Driver","10.56.20.1104"
"Simply Modbus Master 8.0.3","8.0.3"
"Realtek USB Audio","6.3.9600.258"
"NI-PAL 14.5.0f0","14.50.49152"
"NI Service Locator 2014","14.0.217"
"Intel? Software Installer","22.130.0.5"
"NI Error Reporting Interface 14.0","14.0.241"
"NI Security Update (KB 67L8LCQW)","1.0.29.0"
"Dell SupportAssist OS Recovery Plugin for Dell Update","5.5.13.0"
"NI Trace Engine","14.0.177"
"Febooti Automation Workshop","7.6.0.0"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.27.29112","14.27.29112"
"Microsoft .NET SDK 8.0.206 (x64)","8.2.624.27209"
"NI MXS 14.5.0","14.50.49152"
"NI Certificates Deployment Support","1.05.49152"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.27.29112","14.27.29112"
"NI LabWindows/CVI 2013 SP2 Low-Level Driver (Original)","13.0.2278"
"NI-DIM 14.1.0","14.10.49152"
"NI LabWindows/CVI 2013 SP2 Low-Level Driver (Updated)","13.0.2278"
"PRTG Network Monitor","24.4.102.1351"
"NI-QPXI 1.0.0","1.00.49152"
"Google Update Helper","1.3.36.51"
"NI mDNS Responder 14.0.0","14.00.49152"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433","14.42.34433.0"
"NI MDF Support","15.0.172"
"NI EulaDepot","15.0.216"
"NI Uninstaller","15.0.172"
"Intel(R) Trusted Connect Services Client","1.70.101.0"
"NI-RPC 14.0.0f0 for Phar Lap ETS","14.00.49152"
"Microsoft .NET Runtime - 6.0.36 (x64)","6.0.36.34214"
"Microsoft .NET Runtime - 5.0.17 (x64)","5.0.17.31213"
"NI-ORB 14.1","14.10.49152"
"Wazuh Agent","4.9.0"
"Adobe Refresh Manager","1.8.0"
"Microsoft Intune Management Extension","1.86.101.0"
"MobaXterm","22.1.0.4888"
"NI LabVIEW Runtime Interop 2014","14.1.101"
"NI LabVIEW Runtime 2014 SP1","14.1.101"
"Microsoft Windows Desktop Runtime - 8.0.11 (x64)","8.0.11.34221"
"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.27.29112","14.27.29112.0"
"NI-PAL 14.0 Error Files","14.00.49152"
"Python Launcher","3.11.3150.0"
"Microsoft Edge","131.0.2903.146"
"UC232A_Win 10_64bit","1.0.082"
"NI-VISA Runtime 14.0.1","14.01.49152"
"Microsoft VC++ redistributables repacked.","12.0.0.0"
"NI Curl 2014","14.0.295"
"Intel(R) Trusted Connect Service Client x86","1.70.101.0"
"Asmedia USB Host Controller Driver","1.16.61.1"
"NI VC2008MSMs x86","9.0.401"
"NI SSL Support","14.5.10"
"NI Measurement Studio ComponentWorks 3D Graph","8.6.10603"
"NI-RPC 14.0.0f0","14.00.49152"
"NI Xerces Delay Load 2.7.6","2.7.218"
"Redis Insight 2.50.0","2.50.0"
"Arduino IDE 2.3.2","2.3.2"
"7-Zip 24.09 (x64)","24.09"
"DbVisualizer","24.2.2"
"Beyond Compare 4.4.7","4.4.7.28397"
"Cisco Packet Tracer 8.2.2 64Bit","8.2.2.400"
"DBeaver 24.0.2","24.0.2"
"Docker Desktop","4.15.0"
"Git","2.40.0"
"Notepad++ (64-bit x64)","8.7.5"
