"ArcGIS Engine 10.6.1","10.6.9270"
"Google Chrome","87.0.4280.88"
"Microsoft Edge","80.0.361.61"
"Microsoft Edge Update","1.3.119.43"
"Microsoft Help Viewer 2.3","2.3.28107"
"Network Time Protocol","4.2.4p6@vegas-v2-o-custom"
"NTP Time Server Monitor 1.04","0.9g"
"PyCharm Community Edition 2022.3.2","223.8617.48"
"Infognition ScreenPressor v4.2 (Remove Only)",
"WinMerge 2.14.0","2.14.0"
"WinPcap 4.1.2","4.1.0.2001"
"Wireshark 1.4.9","1.4.9"
"NetApp PowerShell Toolkit","9.8.0"
"MobaXterm","10.5.0.3582"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.22.27821","14.22.27821"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.22.27821","14.22.27821"
"Microsoft Analysis Services OLE DB Provider","15.0.2000.568"
"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.22.27821","14.22.27821.0"
"Google Update Helper","1.3.36.51"
"Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.22.27821","14.22.27821.0"
"Intel(R) Trusted Connect Services Client","1.61.251.0"
"Integration Services","15.0.2000.162"
"Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support","15.0.27520"
"Visual Studio 2017 Isolated Shell for SSMS","15.0.28307.421"
"Microsoft Help Viewer 2.3","2.3.28107"
"Microsoft SQL Server Management Studio - 18.9.1","15.0.18384.0"
"Intel(R) Trusted Connect Service Client x86","1.61.251.0"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0"
"Microsoft VC++ redistributables repacked.","12.0.0.0"
"ArcGIS Engine 10.6.1","10.6.9270"
"Intel(R) Processor Graphics","21.20.16.5103"
"Realtek High Definition Audio Driver","6.0.1.8261"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0"
"Microsoft Visual Studio Tools for Applications 2017","15.0.27520"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022","9.0.21022
"Notepad++ (64-bit x64)","7.8.4"
"Microsoft Office 365 - en-us","16.0.12527.20482"
"Intel(R) Network Connections 26.3.0.2","26.3.0.2"
"ScreenPressor x64 v4.2 (Remove Only)",
"Vulkan Run Time Libraries 1.0.33.0","1.0.33.0"
"Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.22.27821","14.22.27821"
"Intel(R) Management Engine Components","2027.14.0.1683"
"Intel(R) Network Connections 26.3.0.2","26.3.0.2"
"7-Zip 9.20 (x64 edition)","9.20.00.0"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022","9.0.21022"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030"
"Intel(R) Rapid Storage Technology","16.8.3.1004"
"Intel(R) Rapid Storage Technology","16.8.3.1004"
"Intel(R) Management Engine Components","1.0.0.0"
"Intel? Optane? Pinning Explorer Extensions","16.8.3.1003"
"VC_CRT_x64","1.02.0000"
"Azure Data Studio","1.28.0"
"Microsoft Visual C++ 2019 X64 Additional Runtime - 14.22.27821","14.22.27821"
"SQL Server Management Studio for Analysis Services","15.0.18384.0"
"SQL Server Management Studio for Reporting Services","15.0.18384.0"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17","9.0.30729"
"Microsoft ODBC Driver 17 for SQL Server","17.7.2.1"
"Office 16 Click-to-Run Licensing Component","16.0.12527.20482"
"Office 16 Click-to-Run Extensibility Component","16.0.12527.20482"
"Office 16 Click-to-Run Localization Component","16.0.12527.20482"
"Microsoft Analysis Services OLE DB Provider","15.0.2000.568"
"Microsoft OLE DB Driver for SQL Server","18.5.0.0"
"Microsoft SQL Server 2012 Native Client ","11.4.7462.6"
"SQL Server Management Studio","15.0.18384.0"
"Wyse Device Agent","14.2.0.52"
"Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support","15.0.27520"
"NVIDIA Ansel","7.1.677.0"
"NVIDIA Control Panel 461.40","461.40"
"NVIDIA Graphics Driver 461.40","461.40"
"NVIDIA RTX Desktop Manager 201.18","201.18"
"NVIDIA WMI 2.36.0","2.36.0"
"NVIDIA Install Application","2.1002.346.0"
"NVIDIA Display MessageBus","461.40"
"NVIDIA Display Container","1.28"
"NVIDIA Display Container LS","1.28"
"NVIDIA Display Watchdog Plugin","1.28"
"NVIDIA Display Session Container","1.28"
"Microsoft VC++ redistributables repacked.","12.0.0.0"
"SSMS Post Install Tasks","15.0.18384.0"
"Intel(R) Management Engine Components","1.0.0.0"
"Intel(R) Trusted Connect Service Client x64","1.61.251.0"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030"
"Intel(R) Management Engine Driver","1.0.0.0"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.2000.5"
"SQL Server Management Studio","15.0.18384.0"
